ID,GENE
DEMO-058,GENE_A
DEMO-058,GENE_C
DEMO-059,GENE_B
DEMO-059,GENE_A
DEMO-060,GENE_C
DEMO-060,GENE_D
DEMO-060,GENE_A
DEMO-061,GENE_D
DEMO-061,GENE_B
DEMO-062,GENE_C
DEMO-062,GENE_D
DEMO-062,GENE_A
DEMO-063,GENE_C
DEMO-063,GENE_B
DEMO-064,GENE_A
DEMO-064,GENE_C
DEMO-065,GENE_D
DEMO-066,GENE_B
DEMO-067,GENE_A
DEMO-067,GENE_D
DEMO-068,GENE_B
DEMO-068,GENE_C
DEMO-069,GENE_C
DEMO-069,GENE_B
DEMO-069,GENE_A
DEMO-070,GENE_B
DEMO-070,GENE_D
DEMO-070,GENE_A
DEMO-071,GENE_C
DEMO-071,GENE_B
DEMO-071,GENE_D
DEMO-072,GENE_B
DEMO-072,GENE_C
DEMO-073,GENE_C
DEMO-075,GENE_B
DEMO-075,GENE_D
DEMO-077,GENE_B
DEMO-077,GENE_C
DEMO-078,GENE_A
DEMO-079,GENE_C
DEMO-081,GENE_A
DEMO-081,GENE_D
DEMO-082,GENE_C
DEMO-085,GENE_A
DEMO-085,GENE_D
DEMO-085,GENE_B
DEMO-086,GENE_B
DEMO-087,GENE_A
DEMO-087,GENE_D
DEMO-088,GENE_D
DEMO-088,GENE_C
DEMO-088,GENE_A
DEMO-089,GENE_D
DEMO-090,GENE_D
DEMO-092,GENE_B
DEMO-094,GENE_B
DEMO-096,GENE_B
DEMO-096,GENE_D
DEMO-099,GENE_B
DEMO-101,GENE_C
DEMO-101,GENE_B
DEMO-101,GENE_A
DEMO-102,GENE_B
DEMO-103,GENE_B
DEMO-103,GENE_A
DEMO-103,GENE_C
DEMO-106,GENE_B
DEMO-107,GENE_C
DEMO-109,GENE_A
DEMO-109,GENE_D
DEMO-109,GENE_B
DEMO-110,GENE_A
DEMO-112,GENE_C
DEMO-113,GENE_D
DEMO-114,GENE_D
DEMO-116,GENE_C
DEMO-116,GENE_A
DEMO-117,GENE_B
DEMO-118,GENE_B
DEMO-118,GENE_A
DEMO-119,GENE_C
DEMO-119,GENE_B
DEMO-120,GENE_D
DEMO-121,GENE_D
DEMO-121,GENE_B
DEMO-121,GENE_C
DEMO-122,GENE_D
DEMO-122,GENE_A
DEMO-122,GENE_C
DEMO-123,GENE_B
DEMO-124,GENE_B
DEMO-125,GENE_C
DEMO-126,GENE_C
DEMO-126,GENE_B
DEMO-126,GENE_D
DEMO-127,GENE_A
DEMO-127,GENE_D
DEMO-129,GENE_C
DEMO-129,GENE_B
DEMO-129,GENE_D
DEMO-130,GENE_A
DEMO-130,GENE_D
DEMO-130,GENE_C
DEMO-131,GENE_D
DEMO-132,GENE_D
DEMO-132,GENE_B
DEMO-133,GENE_D
DEMO-134,GENE_D
DEMO-134,GENE_B
DEMO-138,GENE_A
DEMO-138,GENE_C
DEMO-139,GENE_D
DEMO-139,GENE_C
DEMO-139,GENE_A
DEMO-140,GENE_C
DEMO-140,GENE_A
DEMO-142,GENE_B
DEMO-142,GENE_A
DEMO-142,GENE_D
DEMO-144,GENE_C
DEMO-145,GENE_C
DEMO-145,GENE_B
DEMO-145,GENE_A
DEMO-146,GENE_D
DEMO-147,GENE_D
DEMO-147,GENE_A
DEMO-148,GENE_A
DEMO-148,GENE_C
DEMO-148,GENE_B
DEMO-149,GENE_D
DEMO-149,GENE_C
DEMO-150,GENE_D
DEMO-150,GENE_C
DEMO-151,GENE_A
DEMO-151,GENE_C
DEMO-152,GENE_D
DEMO-153,GENE_A
DEMO-153,GENE_C
DEMO-153,GENE_D
DEMO-154,GENE_D
DEMO-154,GENE_C
DEMO-156,GENE_B
DEMO-157,GENE_B
DEMO-157,GENE_A
